a1	a2	a3	b1	b2	b3	c1	c2
624	496	509	414	394	375	325	288
615	854	930	341	523	360	359	329
553	560	745	819	490	481	480	500
525	412	401	354	321	310	258	228
484	284	315	268	282	307	270	298
482	348	400	242	365	367	81	118
476	386	365	416	247	311	229	189
469	344	386	240	351	361	75	116
453	346	388	240	355	361	76	116
406	57	162	8	36	4	27	22
391	240	286	213	239	275	233	346
372	345	439	489	296	264	305	230
369	270	262	267	241	208	210	176
362	300	273	324	181	220	200	177
351	276	268	200	185	144	132	131
311	213	291	201	155	138	287	327
263	178	67	79	131	158	43	74
262	110	218	132	185	125	63	55
246	174	215	334	163	180	219	179
241	235	229	208	191	163	182	111
240	98	101	196	186	160	163	222
195	27	48	0	19	0	4	4
177	168	208	241	226	209	329	385
177	108	115	97	80	68	138	155
167	103	87	146	175	79	208	196
150	115	140	189	165	133	247	283
147	95	120	96	78	54	140	167
142	42	12	29	15	16	37	13
136	291	274	105	86	48	50	76
135	91	0	39	65	81	0	36
134	194	163	145	116	131	84	72
130	199	173	154	119	125	88	69
130	76	100	75	58	51	141	112
125	187	146	134	110	123	75	63
125	54	53	110	44	84	69	76
118	111	232	265	121	112	104	105
116	70	74	107	52	34	37	36
115	38	57	20	23	49	8	9
99	78	18	42	112	60	26	27
99	184	214	85	125	118	124	87
95	20	10	3	4	1	3	2
92	57	79	45	46	41	77	24
89	30	2	19	9	10	5	8
84	95	141	57	85	97	149	151
76	20	8	49	24	33	16	26
75	57	49	94	80	42	10	24
70	17	8	38	15	20	9	14
67	39	42	36	33	29	41	34
66	29	18	38	25	28	24	18
65	34	57	43	29	19	77	105
63	29	16	37	25	26	0	0
63	29	6	22	19	34	22	27
62	32	66	38	30	17	71	94
59	33	80	83	71	85	94	100
59	107	123	70	89	33	78	0
57	27	28	17	26	25	37	27
56	34	48	69	31	44	19	23
53	31	40	13	22	13	25	5
51	49	45	42	33	26	1	15
51	23	23	46	60	97	37	72
51	29	22	66	18	22	25	24
50	18	188	65	31	30	271	113
48	19	26	36	34	37	30	29
48	29	17	30	42	50	22	24
47	20	19	32	40	51	44	49
47	6	51	29	20	7	260	123
46	16	5	21	13	9	2	3
46	47	25	17	46	52	36	25
45	57	87	46	36	42	22	22
45	19	37	22	31	20	41	33
44	15	56	40	37	43	42	52
43	11	2	16	10	9	2	4
42	12	5	11	7	7	2	5
41	24	15	28	26	20	12	23
41	23	21	68	44	37	28	56
40	27	40	17	36	24	43	38
40	22	35	19	30	19	28	13
39	31	20	69	62	59	73	70
38	14	0	18	10	7	3	6
37	37	36	38	28	24	6	16
37	56	42	75	79	94	20	38
