m/z	intensity
799.884331	166.902
799.901141	162.196
799.917951	161.412
799.934762	164.471
799.951572	168.471
799.968383	157.49
799.985194	148
800.002005	154.588
800.018816	175.686
800.035628	172.392
800.05244	161.725
800.069252	150.667
800.086064	144.706
800.102876	153.961
800.119688	170.667
800.136501	179.137
800.153314	181.02
800.170126	192.235
800.18694	212.314
800.203753	227.451
800.220566	257.725
800.23738	304.157
800.254194	347.529
800.271008	394.824
800.287822	474.824
800.304636	553.333
800.321451	605.098
800.338265	654.98
800.35508	700.628
800.371895	728.157
800.388711	756.471
800.405526	758.039
800.422342	755.608
800.439157	743.294
800.455973	752.078
800.472789	786.353
800.489606	846.745
800.506422	939.451
800.523239	1075.37
800.540056	1188.94
800.556873	1266.12
800.57369	1279.37
800.590507	1226.9
800.607325	1097.73
800.624142	928.941
800.64096	741.177
800.657778	586.431
800.674597	491.137
800.691415	437.725
800.708233	379.608
800.725052	337.098
800.741871	298.118
800.75869	274.667
800.77551	253.412
800.792329	248
800.809149	236
800.825969	220.627
800.842789	207.137
800.859609	198.667
800.876429	180.471
800.89325	160.157
800.91007	160.157
800.926891	171.765
800.943712	174.824
800.960533	167.686
800.977355	158.353
800.994176	154.353
801.010998	148.235
801.02782	148.471
801.044642	151.059
801.061465	153.333
801.078287	156.157
801.09511	162.039
801.111932	157.49
801.128755	162.745
801.145579	179.137
801.162402	196.549
801.179226	200.784
801.196049	209.412
801.212873	231.451
801.229697	242.745
801.246521	251.922
801.263346	305.804
801.28017	387.765
801.296995	466.039
801.31382	523.686
801.330645	574.039
801.347471	616.941
801.364296	628.941
801.381122	637.726
801.397947	649.647
801.414773	657.569
801.4316	685.177
801.448426	732.157
801.465253	784.235
801.482079	818.902
801.498906	863.843
801.515733	943.922
801.53256	1068.47
801.549388	1179.14
801.566215	1229.02
801.583043	1193.8
801.599871	1065.65
801.616699	879.137
801.633528	710.275
801.650356	584
801.667185	473.412
801.684014	397.569
801.700843	360.549
801.717672	347.137
801.734501	329.255
801.751331	302.275
801.76816	278.902
801.78499	245.49
801.80182	221.255
801.818651	202.98
801.835481	187.608
801.852312	179.059
801.869142	180
801.885973	181.255
801.902804	180.078
801.919636	169.725
801.936467	163.843
801.953299	161.882
801.970131	169.882
801.986963	165.569
802.003795	155.216
802.020627	142.745
802.03746	148.235
802.054292	157.961
802.071125	163.059
802.087958	157.804
802.104792	147.922
802.121625	150.196
802.138459	168.706
802.155292	177.804
802.172126	193.098
802.188961	215.294
802.205795	238.039
802.222629	255.765
802.239464	283.059
802.256299	321.02
802.273134	372.706
802.289969	421.569
802.306804	465.725
802.32364	505.02
802.340476	555.059
802.357312	621.961
802.374148	682.98
802.390984	689.177
802.40782	685.412
802.424657	704.314
802.441494	737.647
802.458331	760.235
802.475168	789.098
802.492005	848.471
802.508843	921.569
802.52568	964.549
802.542518	995.294
802.559356	1025.25
802.576194	984.784
802.593033	873.02
802.609871	754.588
802.62671	661.02
802.643549	582.51
802.660388	510.588
802.677227	472.471
802.694067	446.51
802.710906	424.078
802.727746	383.373
802.744586	343.059
802.761426	298.196
802.778266	264.078
802.795107	242.51
802.811947	223.922
802.828788	193.569
802.845629	182.118
802.86247	180.706
802.879312	170.902
802.896153	154.98
802.912995	152.392
802.929837	157.569
802.946679	156.549
802.963521	144.157
802.980364	130.431
802.997206	128.549
803.014049	137.02
803.030892	136.627
803.047735	136.706
803.064579	136.863
803.081422	144.314
803.098266	149.02
803.11511	163.451
803.131954	172
803.148798	177.647
803.165642	180.235
803.182487	199.765
803.199331	229.255
803.216176	264.941
803.233021	297.176
803.249867	330.196
803.266712	364.863
803.283558	412.235
803.300404	463.216
803.31725	514.196
803.334096	553.177
803.350942	586.353
803.367788	621.02
803.384635	653.412
803.401482	677.804
803.418329	697.333
803.435176	717.177
803.452024	715.843
803.468871	708.628
803.485719	737.02
803.502567	799.059
803.519415	879.529
803.536263	927.608
803.553112	937.02
803.56996	891.451
803.586809	783.137
803.603658	662.667
803.620507	573.961
803.637356	505.333
803.654206	457.804
803.671056	430.196
803.687905	400.784
803.704755	363.765
803.721606	342.51
803.738456	308.627
803.755307	271.922
803.772157	242.902
803.789008	240.157
803.805859	234.431
803.822711	217.725
803.839562	187.765
803.856414	174.118
803.873265	169.804
803.890117	160.157
803.90697	158.745
803.923822	159.922
803.940674	158.98
803.957527	160.235
803.97438	166.824
803.991233	173.647
804.008086	170.353
804.02494	168.314
804.041793	161.647
804.058647	157.882
804.075501	158.275
804.092355	150.902
804.109209	140.078
804.126064	153.02
804.142918	176.235
804.159773	196.941
804.176628	202.431
804.193483	202.51
804.210338	216.157
804.227194	252.863
804.24405	289.02
804.260905	319.059
804.277761	347.529
804.294618	393.412
804.311474	447.451
804.328331	503.059
804.345187	532.706
804.362044	576.863
804.378901	634.353
804.395759	701.961
804.412616	761.961
804.429474	801.961
